AAB	Abelag Aviation - Belgium	ABG
ALL	Air Arabia For Air Transport - Libya	Arabia Avia
ALN	Alkan Air - Egypt	Alkan Aviation
ALO	Pennsylvania Commuter Airlines, Inc. (Middletown, PA) - United States	Allegheny
ALP	Allpoints Jet Co., Ltd - China	Allpoints
ALQ	Alanna Limited Trust Distribution - Ukraine	Alanna
ALS	Alas del Sur - Venezuela (Bolivarian Republic of)	Alasdelsur
ALT	Aerolineas Centrales, S.A. de C.V. - Mexico	Aerolineas Centrales
ALU	Air Luxor STP - Sao Tome and Principe	Luxorjet
ALV	Aeropostal Alas de Venezuela - Venezuela (Bolivarian Republic of)	Aeropostal
ALX	Alpi Jets GmbH - Austria	Alpijets
ALY	Alas Uruguay (Dyrus S.A.) - Uruguay	Alas Uruguay
ALZ	Azure Aviation Ltd - Bahamas	Azure
AMA	Aircompany Moalem Aviation - Kyrgyzstan	Moalem
AMB	DRF - Stiftung Luftrettung Gemeinnuetzige AG, Filderstadt - Germany	Civil Air Ambulance
AMC	Air Malta Plc. - Malta	Air Malta
AMD	SA Red Cross Air Mercy Service - South Africa	Mercy Wing
AME	Aeronave Militar Espanola. Ministerio de Defensa - Spain	Airmil
AMF	Ameriflight, Inc. (Burbank, CA) - United States	Amflight
AMG	Air Minas Linhas Aereas Ltda. - Brazil	Air Minas
AMI	Air America, Inc. (Carolina, PR) - United States	Airmek
AMJ	Amjet Executive S.A. - Greece	Amjet Exec
AML	Air Malawi - Malawi	Malawi
AMN	Air Montenegro - Montenegro	Montenegro
AMP	Aero Transporte S.A. (ATSA) - Peru	Atsa
AMQ	AMC Aviation Sp. Z O. O. - Poland	Amex
AMR	Air Specialties Corporation D/B/A/ Air  America/Total Air (Los Angeles, CA) - United States	Air Am
AMT	Air Mountain - Switzerland	Air Mountain
AMU	Air Macau - China	Air Macau
AMX	Aerovias de Mexico, S.A. de C.V. - Mexico	Aeromexico
AMY	Air Mandalay Limited - Myanmar	Air Mandalay
AMZ	Amiyi Airline Limited - Nigeria	Amiyi Air
ANA	All Nippon Airways Co., Ltd. - Japan	All Nippon
ANB	Air Navigation and Trading Co. Ltd. - United Kingdom	Air Nav
ANC	Avian Lineas Aereas S.A. - Avianca Argentina - Argentina	Avian
AND	Servicios Aereos de Los Andes S.A.C. - Peru	Servi Andes
ANE	Air Nostrum Lineas Aereas del Mediterraneo, S.A. - Spain	Nostru Air
ANG	Air Niugini - Papua New Guinea	Niugini
ANI	Air Atlantic (Nig) Limited - Nigeria	Nigalantic
ANJ	Allegiance Air (Pty) Ltd - South Africa	Air Allegiance
ANL	Nacoia Lda - Angola	Air Nacoia
ANM	Aerotransportacion de Norteamerica, S.A. de C.V. - Mexico	Noram
ANO	Capiteq Limited, Trading As Air North Regional - Australia	Topend
ANP	Air Nigeria Development Limited - Nigeria	Nicon Fliers
ANQ	Aerolinea de Antioquia S.A. (ADA) - Colombia	Antioquia
ANR	Yanair, Aviacompany Ltd - Ukraine	Yanair
ANS	Andes Lineas Aereas, S.A. - Argentina	Aeroandes
ANT	Air North Charter - Canada	Air North
ANU	Andalus - Spain	Andalus
ANV	Nestoil Limited - Nigeria	Nestav
ANW	Fly Me (Pty) Ltd - South Africa	Angel Wings
ANX	Secretaria de Marina - Mexico	Secretaria Demarina
ANZ	Air New Zealand Ltd - New Zealand	New Zealand
AOB	Aerocaribe Coro, C.A. - Venezuela (Bolivarian Republic of)	Caribe Coro
AOC	Titanfly International - San Marino	Aramis
AOD	Aero Vodochody - Czech Republic	Aero Czech
AOF	Atair Pty Ltd - South Africa	Atair
AOJ	Avcon Jet AG - Austria	Asterix
AON	Aero Entreprise - France	Aero Entreprise
AOR	Afro International Ent. Limited - Nigeria	Inter-Afro
AOS	Aeros Ltd (T/A Aeros Flight Training) - United Kingdom	Aeros
AOU	Air Tractor D.O.O. - Croatia	Air Tractor
AOV	Aero Vision - France	Aerovision
APA	Apoyo Logistico Aereo, S.A de C.V. - Mexico	Apoyo Log
APC	Airpac (Seattle, WA) - United States	Airpac
APE	Parcel Express (Denver, CO) - United States	Air Parcel
APF	Amapola Flyg Ab - Sweden	Amapola
APG	Philippines Airasia Inc. - Philippines	Cool Red
APH	Alpha Aviation, Inc. (Dallas, TX) - United States	Airflight
API	Asa Pesada, Lda. - Angola	Asa Pesada
APJ	Peach Aviation Limited - Japan	Air Peach
APK	Air Peace Limited - Nigeria	Peace Bird
APL	Corporativo Aereo Principal, S.A. de C.V. - Mexico	Aereo Principal
APM	Aeropole Oy - Finland	Red Finn
APN	Alpine Airlines - France	Air Alpes
APR	Aerolineas Primordiales, S.A. de C.V. - Mexico	Primordiales
APS	Aeroparadise, S.A. de C.V. - Mexico	Aeroparadise
APU	Transporte Aereo Expreso Moche S.A.C. - Peru	Apuka
APV	Air Philip - Republic of Korea	Philip Air
APX	Newcastle Aviation Ltd - United Kingdom	Apex
APZ	Air Premia - Republic of Korea	Air Premia
AQA	Aeroatlas S.A. - Colombia	Atco
AQQ	Apsara International Air - Cambodia	Apsara
AQS	Airstream - Czech Republic	Airstream
AQU	Airquarius Aviation - South Africa	Quarius
ARA	Arik Air Ltd - Nigeria	Arik Air
ARB	Airbahn - United States	Airbahn
ARD	Aeroandinas, C.A. - Venezuela (Bolivarian Republic of)	Cordilleras
ARE	Aires S.A. (Aerovias de Integracion Regional S.A.) D/B/A Lan Colombia Airlines S.A. D/B/A Lan Colombia Airlines - Colombia	Lan Colombia
ARF	Animal Rescue Flights - United States	Animal Flights
ARG	Aerolineas Argentinas - Argentina	Argentina
ARH	Aerohelicopteros, C.A. - Venezuela (Bolivarian Republic of)	Aerohelca
ARI	Aero Vics, S.A. de C.V. - Mexico	Aerovics
ARK	Aero Link Air Services S.L. - Spain	Link Service
ARL	Airlec Air Espace - France	Airlec
ARM	Megaviation - Republic of Moldova	Sunsky
ARN	Aeronexus Corporate Pty Ltd - South Africa	Aeronex
ARO	Acero Taxi, S.A. de C.V. - Mexico	Acero
ARP	Aero Corporate - Côte D'Ivoire	Ivorycorp
ARR	Air Armenia - Armenia	Air Armenia
ARS	Aeromet Servicios Ltda. - Chile	Metservice
ART	Smart Lynx Airlines Ltd - Latvia	Smart Lynx
ARU	Aruba Airlines - Netherlands	Aruba
ARV	Aravco Ltd. - United Kingdom	Aravco
ARW	Airways International Limited - Jamaica	Jamaica Shuttle
ARX	Air Xpress, Inc, (Greensboro, NC) - United States	Airex
ARY	Atc CJSC - Armenia	Yeraz
ASA	Alaska Airlines Inc. - United States	Alaska
ASB	Air-Spray 1967 Ltd. - Canada	Air Spray
ASD	Air Sinai - Egypt	Air Sinai
ASE	Servicios de Aviacion Asertec, S.A. de C.V. - Mexico	Asertec
ASF	Austrian Air Force - Austria	Austrian Airforce
ASH	Mesa Aviation Services, Inc. (Farmington, NM) - United States	Air Shuttle
ASI	Aeroguard Flight Training Center (Phoenix, AZ) - United States	Aerosun
ASJ	Astonjet - France	Astonjet
ASK	Aero Sky S.L. - Spain	Multisky
ASL	Air Serbia - Serbia	Air Serbia
ASM	Awesome Flight Services (Pty) Ltd - South Africa	Awesome
ASN	RS Servicios de Teledeteccion - Spain	Airsensing
ASO	Aerosul Taxi Aereo Ltda - Brazil	Aerosul
ASP	Airsprint Inc. - Canada	Airsprint
ASQ	Expressjet Airlines - United States	Acey
ASR	Aero Sotravia - France	Sotravia
AST	Thai Summer Airways Company Limited - Thailand	Thai Summer
ASU	Compania Aerea del Sur S.A. (Aerosur S.A.) - Uruguay	Asur
ASV	Air Seoul - Republic of Korea	Air Seoul
ASW	Asia Airways - Tajikistan	Asiaways
ASX	Air Special - Czech Republic	Airspec
ASY	Royal Australian Air Force - Australia	Aussie
ASZ	Ascension Air Management, Inc. (Atlanta, GA) - United States	Ascencion
ATB	Airline Transport Incorporation - Burundi	Trans-Burundi
ATC	Air Tanzania - United Republic of Tanzania	Tanzania
ATF	Compania Aerotecnicas Fotograficas - Spain	Aerotecnicas
ATG	Aerotranscargo - Republic of Moldova	Moldcargo
ATH	Aircraft Systems South Africa - South Africa	Globestar
ATI	Art Avia - Russian Federation	Art Avia
ATK	Aerotaxi Casanare Ltda. - Colombia	Aerotaca
ATL	Atlas Air Service AG, Ganderkesee - Germany	Air Bremen
ATM	Airlines of Tasmania - Australia	Airtas
ATN	Air Transport International (Little Rock, AR) - United States	Air Transport
ATO	Airways Flygutbildning Ab - Sweden	School Flight
ATP	Servicios Aereos del Altiplano, S.A. de C.V. - Mexico	Altiplano
ATQ	CHC Helicopters Nigeria Limited - Nigeria	Colibri
ATR	Atrak Airlines - Iran (Islamic Republic of)	Atrak Air
ATS	Atlas Khomein Kish - Iran (Islamic Republic of)	Air Atlas
ATU	Aerotours - Germany	Berlin Sky
ATV	Avanti Air GmbH & Co. Kg, Burbach - Germany	Avanti Air
ATW	Air Antwerp - Belgium	Devil
ATX	Airswift Transport Inc. - Philippines	Airswift
ATY	Airtraffic Limited - Kenya	Aircare
ATZ	Ace Air - Republic of Korea	Ace Taxi
AUA	Austrian Airlines (AUA) AG - Austria	Austrian
AUD	Trans Northern Airways, LLC - United States	Genie
AUE	Universal Aviation Academy - Republic of Korea	Air Universe
AUG	Georgian Aviation University - Georgia	Geo University
AUH	Presidential Flight - United Arab Emirates	Sultan
AUI	Ukraine International Airlines - Ukraine	Ukraine International
AUK	Auric Air Services Ltd - United Republic of Tanzania	Auric Services
AUL	Smartavia Airlines, Joint Stock Company - Russian Federation	Archangelsk Air
AUM	Air Atlantic Uruguay S.A. - Uruguay	Atlamur
AUN	Common Sky A & N Luftfahrt GmbH - Austria	Common Sky
AUO	Empresa Aero Uruguay, S.A. - Uruguay	Uniform Oscar
AUR	Aurigny Air Services Ltd. - United Kingdom	Ayline
AUT	Cielos del Sur S.A. - Austral - Argentina	Austral
AUU	Aurora Flight Sciences - United States	Argo
AUY	Aerolineas Uruguayas S.A. - Uruguay	Ausa
AUZ	Amaszonas Uruguay - Uruguay	Uruguayo
AVA	Aerovias del Continente Americano S.A. - Colombia	Avianca
AVB	Aviation Beauport Ltd. - United Kingdom	Beaupair
AVC	Aviootriad Varna Ltd - Bulgaria	Airteam Varna
AVD	Alamo Aviacion S.L. - Spain	Alamo
AVE	Avex Air Transport (Pty) Ltd T/A Avex Air - South Africa	Avex Air
AVF	Aves Flight Share, S.A. de C.V. - Mexico	Aves Flight
AVH	Av8 Helicopters Ltd - United Kingdom	Kent Heli
AVJ	Avia Traffic Company - Kyrgyzstan	Atomic
AVK	Av8 Helicopters - South Africa	Aviate-Copter
AVL	Aviation Adventures (Manassas, VA) - United States	Sky Ventures
AVM	Avemex, S.A. de C.V. - Mexico	Avemex
AVN	Air Vanuatu - Vanuatu	Air Van
AVO	Aviation At Work Pty Ltd - South Africa	Aviation Work
AVP	Aviacion Corporativa de Puebla, S.A. de C.V. - Mexico	Avia Puebla
AVQ	Avic - International Flight Training Academy (AIFA) - South Africa	Avic
AVS	Avialsa T-35, S.L. - Spain	Avialsa
AVV	Aviator Aviation - Egypt	Wing Man
AVW	Aviro Air - Romania	Aviro
AVY	Aerovaradero, S.A. - Cuba	Aerovaradero
AVZ	Air Valencia, S.L. - Spain	Air Valencia
AWC	Titan Airways Ltd - United Kingdom	Zap
AWG	Anima Wings Aviation S.A. - Romania	Anima Wings
AWH	Aerowest GmbH - Germany	Aerowest
AWI	Air Wisconsin Airlines Corporation (Appleton, WI) - United States	Wisconsin
AWJ	Sahel Airlines - Niger	Sahel Airlines
AWK	Airwork Holdings Limited - New Zealand	Airwork
AWM	Asian Wings Airways Ltd - Myanmar	Asian Star
AWN	Air Niamey S.A. - Niger	Air Niamey
AWQ	Indonesia Airasia, Pt. - Indonesia	Wagon Air
AWS	Arab Wings Company - Jordan	Arab Wings
AWT	Albawings - Albania	Albawings
AWU	Sylt Air GmbH, Sylt-Ost - Germany	Sylt Air
AWW	Awa Airways - Iran (Islamic Republic of)	Awa
AWX	Caa Directorate of Airspace Policy (Ifp) - United Kingdom	Allweather
AWY	Airways Aviation Academy Ltd - United Kingdom	Red Kite
AXA	RP Aircraft Management GmbH - Austria	Amira
AXB	Air India Express - India	Express India
AXC	Indochina Airlines Joint Stock Company - Viet Nam	Airspup
AXD	Air Express - Sudan	Air Sudex
AXE	Airexplore, S.r.o. - Slovakia	Galileo
AXG	Air X Charter Germany GmbH - Germany	Fortune
AXK	African Express Airways - Kenya	Express Jet
AXL	Anguilla Air Services Ltd - United Kingdom	Anguilla
AXM	Airasia Sdn Bhd - Malaysia	Red Cap
AXP	Aeromax, S.L. - Spain	Aeromax Spain
AXQ	Action Airlines (Action Air Charter) - United States	Action Air
AXT	AX Transporter, S.A. de C.V. - Mexico	Axtransporter
AXY	Air X Charter - Malta	Legend
AYA	Federal Aviation Administration (FAA) Academy (Oklahoma City, OK) - United States	Academy Air
AYE	Yunnan Yingan Airlines Co., Ltd - China	Air Ying An
AYH	Avioandes S.A. - Ecuador	Andes
AYL	Alpine Air Private Limited - Nepal	Alpine Nepal
AYM	Airman, S.L. - Spain	Airman
AYN	Atlantic Airlines, S.A. - Nicaragua	Atlantic Nicaragua
AYR	Flight Training Europe S.L. - Spain	Cygnet
AYT	Ayit Aviation & Tourism - Israel	Ayit
AYV	Airways Services & Support As&S, C.A. - Venezuela (Bolivarian Republic of)	Cargway
AYY	Air Alliance Express AG & Co. KG, Burbach - Germany	Lupus
AZA	Alitalia - Compagnia Aerea Italiana S.p.A. - Italy	Alitalia
AZB	Zambia Airways (2014) Limited - Zambia	Air Zambia
AZD	Zimex Aviation Austria - Austria	Mailman
AZE	Arcus Air GmbH & Co. Kg, Zweibruecken - Germany	Arcus Air
AZF	Air Zermatt AG - Switzerland	Air Zermatt
AZG	Silk Way West Airlines - Azerbaijan	Silk West
AZH	SW Helicopter Services - Azerbaijan	Heliaze
AZI	Astra Airlines - Greece	Greek Star
AZM	Azman Air Services Ltd. - Nigeria	Azman Air
AZN	Amaszonas S.A. - Bolivia (Plurinational State of)	Amazonas
AZO	JSC Azimuth Airlines - Russian Federation	Azimuth-Don
AZP	Compania de Aviacion Paraguaya S.A. - Paraguay	Guarani
AZQ	Silk Way Airlines - Azerbaijan	Silk Line
AZR	Zenith Air Cc - South Africa	Zenair
AZS	Aviacon Zitotrans - Russian Federation	Zitotrans
AZT	Azimut, S.A. - Spain	Azimut
AZU	Azul Linhas Aereas Brasileiras S/A - Brazil	Azul
AZW	Air Zimbabwe - Zimbabwe	Air Zimbabwe
AZX	Air Max Africa - Gabon	Azima
AZY	Aztec Worldwide Airlines, Inc. (Ft. Lauderdale, FL) - United States	Aztec World
AZZ	Azza Transport Co. Ltd - Sudan	Azza Transport
BAA	Balkan Agro Aviation - Bulgaria	Balkan Agro
BAB	Bahrain Air - Bahrain	Bahrain Air
BAD	Flight Development, LLC (Watkins, CO) - United States	Badlands
BAE	Bae Systems (Corporate Air Travel) Ltd - United Kingdom	Felix
BAF	Belgian Air Force - Belgium	Belgian Airforce
BAH	Bahrain Royal Flight (Bah) - Bahrain	Bahrain
BAI	Pueblo Bonito Air, S.A. de C.V. - Mexico	Bonito Air
BAJ	Baker Aviation, Inc. (Kotzebue, AK) - United States	Baker Aviation
BAK	Blackhawk Airways, Inc. (Janesville, WI) - United States	Blackhawk
BAL	Balmoral Central Contracts - South Africa	Balmoral
BAN	British Antarctic Survey - United Kingdom	Penguin
BAO	Baden Aircraft Operation GmbH, Rheinmuenster - Germany	Avangard
BAP	Trans International Express Aviation - United States	Big Apple
BAQ	Baltic Jet Cargo - Latvia	Lat Cargo
BAS	Aero Services - Barbados	Aeroserv
BAT	British Airways (Ba) Ltd - United Kingdom	Gherkin
BAV	Bamboo Airways - Viet Nam	Bamboo
BAW	British Airways - United Kingdom	Speedbird
BBA	Bombardier Inc. - Canada	Bombardier
BBB	Blackbird Air A/S - Denmark	Blackbird
BBC	Bangladesh Biman - Bangladesh	Bangladesh
BBD	Bluebird Nordic Ltd - Iceland	Blue Cargo
BBE	Ababeel Aviation Co. Ltd - Sudan	Babel Air
BBG	Blue Bird Airways - Greece	Candia Bird
BBJ	Blue Air Lines - Republic of Korea	Blue Korea
BBK	B&K Aero Kz Llp - Kazakhstan	Babak
BBN	Caa Airworthiness Division - United Kingdom	Brabazon
BBO	Helisul - Portugal	Babcock
BBR	Santa Barbara Airlines, C.A. - Venezuela (Bolivarian Republic of)	Santa Barbara
